dc_arxiv_names,oecd_names
Arts and Humanities: Pacific Islands Languages and Societies: Polynesian Studies,6.4 Arts and music
Arts and Humanities: Philosophy,6.3 Philosophy ethics and religion
Arts and Humanities: Philosophy: Aesthetics,6.3 Philosophy ethics and religion
Arts and Humanities: Philosophy: Applied Ethics,6.3 Philosophy ethics and religion
Arts and Humanities: Philosophy: Comparative Philosophy,6.3 Philosophy ethics and religion
Arts and Humanities: Philosophy: Continental Philosophy,6.3 Philosophy ethics and religion
Arts and Humanities: Philosophy: Epistemology,6.3 Philosophy ethics and religion
Arts and Humanities: Philosophy: Ethics and Political Philosophy,6.3 Philosophy ethics and religion
Arts and Humanities: Philosophy: Feminist Philosophy,6.3 Philosophy ethics and religion
Arts and Humanities: Philosophy: History of Philosophy,6.3 Philosophy ethics and religion
Arts and Humanities: Philosophy: Logic and Foundations of Mathematics,6.3 Philosophy ethics and religion
Arts and Humanities: Philosophy: Metaphysics,6.3 Philosophy ethics and religion
Arts and Humanities: Philosophy: Philosophy of Language,6.3 Philosophy ethics and religion
Arts and Humanities: Philosophy: Philosophy of Mind,6.3 Philosophy ethics and religion
Arts and Humanities: Philosophy: Philosophy of Science,6.3 Philosophy ethics and religion
Arts and Humanities: Philosophy: Other Philosophy,6.3 Philosophy ethics and religion
Arts and Humanities: Photography,6.4 Arts and music
"Arts and Humanities: Race, Ethnicity and Post-Colonial Studies",6.4 Arts and music
"Arts and Humanities: Race, Ethnicity and Post-Colonial Studies: African American Studies",6.4 Arts and music
"Arts and Humanities: Race, Ethnicity and Post-Colonial Studies: Asian American Studies",6.4 Arts and music
"Arts and Humanities: Race, Ethnicity and Post-Colonial Studies: Chicana/o Studies",6.4 Arts and music
"Arts and Humanities: Race, Ethnicity and Post-Colonial Studies: Ethnic Studies",6.4 Arts and music
"Arts and Humanities: Race, Ethnicity and Post-Colonial Studies: Indigenous Studies",6.4 Arts and music
"Arts and Humanities: Race, Ethnicity and Post-Colonial Studies: Latina/o Studies",6.4 Arts and music
"Arts and Humanities: Race, Ethnicity and Post-Colonial Studies: Native American Studies",6.4 Arts and music
Arts and Humanities: Radio,6.4 Arts and music
Arts and Humanities: Reading and Language,6.2 Languages and literature
Arts and Humanities: Religion,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: Biblical Studies,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: Buddhist Studies,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: Catholic Studies,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: Christianity,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: Christian Denominations and Sects,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: Comparative Methodologies and Theories,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: Ethics in Religion,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: Hindu Studies,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: History of Christianity,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: History of Religions of Eastern Origins,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: History of Religions of Western Origin,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: Islamic Studies,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: Liturgy and Worship,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: Missions and World Christianity,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: Mormon Studies,6.3 Philosophy ethics and religion
Arts and Humanities: Religion: Practical Theology,6.3 Philosophy ethics and religion
"Arts and Humanities: Religion: Religious Thought, Theology and Philosophy of Religion",6.3 Philosophy ethics and religion
Arts and Humanities: Religion: Other Religion,6.3 Philosophy ethics and religion
Arts and Humanities: Renaissance Studies,6.4 Arts and music
Arts and Humanities: Rhetoric and Composition,6.4 Arts and music
Arts and Humanities: Rhetoric and Composition: Rhetoric,6.4 Arts and music
Arts and Humanities: Rhetoric and Composition: Other Rhetoric and Composition,6.4 Arts and music
Arts and Humanities: Scandinavian Studies,6.4 Arts and music
Arts and Humanities: Sign Languages,6.4 Arts and music
Arts and Humanities: Sign Languages: American Sign Language,6.4 Arts and music
Arts and Humanities: Slavic Languages and Societies,6.2 Languages and literature
Arts and Humanities: Slavic Languages and Societies: Russian Linguistics,6.2 Languages and literature
Arts and Humanities: Slavic Languages and Societies: Russian Literature,6.2 Languages and literature
Arts and Humanities: South and Southeast Asian Languages and Societies,6.2 Languages and literature
Arts and Humanities: Spanish and Portuguese Language and Literature,6.2 Languages and literature
Arts and Humanities: Spanish and Portuguese Language and Literature: Latin American Literature,6.2 Languages and literature
Arts and Humanities: Spanish and Portuguese Language and Literature: Portuguese Literature,6.2 Languages and literature
Arts and Humanities: Spanish and Portuguese Language and Literature: Spanish Linguistics,6.2 Languages and literature
Arts and Humanities: Spanish and Portuguese Language and Literature: Spanish Literature,6.2 Languages and literature
Arts and Humanities: Spanish and Portuguese Language and Literature: Other Spanish and Portuguese,6.2 Languages and literature
Arts and Humanities: Technical and Professional Writing,6.4 Arts and music
Arts and Humanities: Television,6.4 Arts and music
Arts and Humanities: Theatre and Performance Studies,6.4 Arts and music
Arts and Humanities: Theatre and Performance Studies: Acting,6.4 Arts and music
Arts and Humanities: Theatre and Performance Studies: Dance,6.4 Arts and music
"Arts and Humanities: Theatre and Performance Studies: Dramatic Literature, Criticism and Theory",6.4 Arts and music
Arts and Humanities: Theatre and Performance Studies: Performance Studies,6.4 Arts and music
Arts and Humanities: Theatre and Performance Studies: Playwriting,6.4 Arts and music
Arts and Humanities: Theatre and Performance Studies: Theatre History,6.4 Arts and music
Arts and Humanities: Theatre and Performance Studies: Other Theatre and Performance Studies,6.4 Arts and music
Arts and Humanities: Other Arts and Humanities,6.4 Arts and music
"Arts and Humanities: Other Languages, Societies, and Cultures",6.2 Languages and literature
Business,5.2 Economics and business
Business: Accounting,5.2 Economics and business
Business: Advertising and Promotion Management,5.2 Economics and business
Business: Agribusiness,5.2 Economics and business
Business: Arts Management,5.2 Economics and business
Business: Arts Management: Music Business,5.2 Economics and business
"Business: Business Administration, Management, and Operations",5.2 Economics and business
"Business: Business Administration, Management, and Operations: Leadership",5.2 Economics and business
Business: Business Analytics,5.2 Economics and business
Business: Business and Corporate Communications,5.2 Economics and business
Business: Business Intelligence,5.2 Economics and business
"Business: Business Law, Public Responsibility, and Ethics",5.2 Economics and business
Business: Corporate Finance,5.2 Economics and business
Business: E-Commerce,5.2 Economics and business
Business: Entrepreneurial and Small Business Operations,5.2 Economics and business
Business: Fashion Business,5.2 Economics and business
Business: Finance and Financial Management,5.2 Economics and business
Business: Hospitality Administration and Management,5.2 Economics and business
Business: Hospitality Administration and Management: Food and Beverage Management,5.2 Economics and business
Business: Hospitality Administration and Management: Gaming and Casino Operations Management,5.2 Economics and business
Business: Human Resources Management,5.2 Economics and business
Business: Human Resources Management: Benefits and Compensation,5.2 Economics and business
Business: Human Resources Management: Performance Management,5.2 Economics and business
Business: Human Resources Management: Training and Development,5.2 Economics and business
Business: Insurance,5.2 Economics and business
Business: International Business,5.2 Economics and business
Business: Labor Relations,5.2 Economics and business
Business: Labor Relations: Collective Bargaining,5.2 Economics and business
Business: Labor Relations: International and Comparative Labor Relations,5.2 Economics and business
Business: Labor Relations: Unions,5.2 Economics and business
Business: Management Information Systems,5.2 Economics and business
Business: Management Sciences and Quantitative Methods,5.2 Economics and business
Business: Marketing,5.2 Economics and business
Business: Nonprofit Administration and Management,5.2 Economics and business
Business: Operations and Supply Chain Management,5.2 Economics and business
Business: Organizational Behavior and Theory,5.2 Economics and business
Business: Portfolio and Security Analysis,5.2 Economics and business
Business: Real Estate,5.2 Economics and business
Business: Recreation Business,5.2 Economics and business
Business: Sales and Merchandising,5.2 Economics and business
Business: Sports Management,5.2 Economics and business
Business: Strategic Management Policy,5.2 Economics and business
Business: Taxation,5.2 Economics and business
Business: Technology and Innovation,5.2 Economics and business
Business: Tourism and Travel,5.2 Economics and business
Business: Transportation and Mobility Management,5.2 Economics and business
Business: Transportation and Mobility Management: Commercial Space Operations,5.2 Economics and business
Business: Other Business,5.2 Economics and business
Education,5.3 Educational sciences
Education: Adult and Continuing Education,5.3 Educational sciences
Education: Art Education,5.3 Educational sciences
"Education: Bilingual, Multilingual, and Multicultural Education",5.3 Educational sciences
Education: Community College Leadership,5.3 Educational sciences
Education: Curriculum and Instruction,5.3 Educational sciences
Education: Curriculum and Instruction: Contemplative Education,5.3 Educational sciences
Education: Curriculum and Social Inquiry,5.3 Educational sciences
Education: Disability and Equity in Education,5.3 Educational sciences
Education: Disability and Equity in Education: Accessibility,5.3 Educational sciences
Education: Disability and Equity in Education: Gender Equity in Education,5.3 Educational sciences
Education: Early Childhood Education,5.3 Educational sciences
Education: Education Economics,5.3 Educational sciences
Education: Educational Administration and Supervision,5.3 Educational sciences
Education: Educational Administration and Supervision: Adult and Continuing Education Administration,5.3 Educational sciences
Education: Educational Administration and Supervision: Community College Education Administration,5.3 Educational sciences
Education: Educational Administration and Supervision: Elementary and Middle and Secondary,5.3 Educational sciences
Education Administration,5.3 Educational sciences
Education: Educational Administration and Supervision: Higher Education Administration,5.3 Educational sciences
Education: Educational Administration and Supervision: Special Education Administration,5.3 Educational sciences
Education: Educational Administration and Supervision: Urban Education,5.3 Educational sciences
Education: Educational Administration and Supervision: Other Educational Administration and,5.3 Educational sciences
Supervision,5.3 Educational sciences
"Education: Educational Assessment, Evaluation, and Research",5.3 Educational sciences
Education: Educational Leadership,5.3 Educational sciences
Education: Educational Methods,5.3 Educational sciences
Education: Educational Psychology,5.3 Educational sciences
Education: Educational Technology,5.3 Educational sciences
Education: Elementary Education,5.3 Educational sciences
Education: Family and Consumer Sciences,5.3 Educational sciences
Education: Gifted Education,5.3 Educational sciences
Education: Health and Physical Education,5.3 Educational sciences
Education: Higher Education,5.3 Educational sciences
Education: Higher Education: Scholarship of Teaching and Learning,5.3 Educational sciences
Education: Higher Education: University Extension,5.3 Educational sciences
Education: Humane Education,5.3 Educational sciences
Education: Indigenous Education,5.3 Educational sciences
Education: Instructional Media Design,5.3 Educational sciences
Education: International and Comparative Education,5.3 Educational sciences
Education: Language and Literacy Education,5.3 Educational sciences
Education: Liberal Studies,6.4 Arts and music
Education: Online and Distance Education,5.3 Educational sciences
Education: Outdoor Education,5.3 Educational sciences
Education: Prison Education and Reentry,5.3 Educational sciences
Education: Science and Mathematics Education,5.3 Educational sciences
Education: Secondary Education,5.3 Educational sciences
Education: Social and Philosophical Foundations of Education,5.3 Educational sciences
Education: Social and Philosophical Foundations of Education: Holistic Education,5.3 Educational sciences
Education: Special Education and Teaching,5.3 Educational sciences
Education: Student Counseling and Personnel Services,5.3 Educational sciences
Education: Student Counseling and Personnel Services: Academic Advising,5.3 Educational sciences
Education: Teacher Education and Professional Development,5.3 Educational sciences
Education: Teacher Education and Professional Development: Adult and Continuing Education and Teaching,5.3 Educational sciences
Education: Teacher Education and Professional Development: Elementary Education and Teaching,5.3 Educational sciences
Education: Teacher Education and Professional Development: Higher Education and Teaching,5.3 Educational sciences
"Education: Teacher Education and Professional Development: Junior High, Intermediate, Middle School",5.3 Educational sciences
Education and Teaching,5.3 Educational sciences
"Education: Teacher Education and Professional Development: Pre-Elementary, Early Childhood,",5.3 Educational sciences
Kindergarten Teacher Education,5.3 Educational sciences
Education: Teacher Education and Professional Development: Secondary Education and Teaching,5.3 Educational sciences
Education: Teacher Education and Professional Development: Other Teacher Education and Professional Development,5.3 Educational sciences
Education: Other Education,5.3 Educational sciences
Education: Vocational Education,5.3 Educational sciences
Engineering,2.1 Civil engineering
Engineering: Aerospace Engineering,2.3 Mechanical engineering
Engineering: Aerospace Engineering: Aeronautical Vehicles,2.3 Mechanical engineering
Engineering: Aerospace Engineering: Astrodynamics,2.3 Mechanical engineering
Engineering: Aerospace Engineering: Multi-Vehicle Systems and Air Traffic Control,2.3 Mechanical engineering
"Engineering: Aerospace Engineering: Navigation, Guidance, Control and Dynamics",2.3 Mechanical engineering
Engineering: Aerospace Engineering: Propulsion and Power,2.3 Mechanical engineering
Engineering: Aerospace Engineering: Space Habitation and Life Support,2.3 Mechanical engineering
Engineering: Aerospace Engineering: Space Vehicles,2.3 Mechanical engineering
Engineering: Aerospace Engineering: Structures and Materials,2.3 Mechanical engineering
Engineering: Aerospace Engineering: Systems Engineering and Multidisciplinary Design Optimization,2.3 Mechanical engineering
Engineering: Aerospace Engineering: Other Aerospace Engineering,2.3 Mechanical engineering
Engineering: Automotive Engineering,2.3 Mechanical engineering
Engineering: Automotive Engineering: Military Vehicles,2.3 Mechanical engineering
"Engineering: Automotive Engineering: Navigation, Guidance, Control, and Dynamics",2.3 Mechanical engineering
Engineering: Aviation,2.3 Mechanical engineering
Engineering: Aviation: Aviation and Space Education,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Aviation: Aviation Safety and Security,2.3 Mechanical engineering
Engineering: Aviation: Maintenance Technology,2.3 Mechanical engineering
Engineering: Aviation: Management and Operations,2.3 Mechanical engineering
Engineering: Biomedical Engineering and Bioengineering,2.6 Medical engineering
Engineering: Biomedical Engineering and Bioengineering: Bioelectrical and Neuroengineering,2.6 Medical engineering
Engineering: Biomedical Engineering and Bioengineering: Bioimaging and Biomedical Optics,2.6 Medical engineering
Engineering: Biomedical Engineering and Bioengineering: Biological Engineering,2.6 Medical engineering
Engineering: Biomedical Engineering and Bioengineering: Biomaterials,2.6 Medical engineering
Engineering: Biomedical Engineering and Bioengineering: Biomechanics and Biotransport,2.6 Medical engineering
Engineering: Biomedical Engineering and Bioengineering: Biomedical Devices and Instrumentation,2.6 Medical engineering
"Engineering: Biomedical Engineering and Bioengineering: Molecular, Cellular, and Tissue Engineering",2.6 Medical engineering
Engineering: Biomedical Engineering and Bioengineering: Systems and Integrative Engineering,2.6 Medical engineering
Engineering: Biomedical Engineering and Bioengineering: Vision Science,2.6 Medical engineering
Engineering: Biomedical Engineering and Bioengineering: Other Biomedical Engineering and,2.6 Medical engineering
Bioengineering,2.6 Medical engineering
Engineering: Bioresource and Agricultural Engineering,4.1 Agriculture forestry and fisheries
Engineering: Chemical Engineering,2.4 Chemical engineering
Engineering: Chemical Engineering: Biochemical and Biomolecular Engineering,2.4 Chemical engineering
Engineering: Chemical Engineering: Catalysis and Reaction Engineering,2.4 Chemical engineering
Engineering: Chemical Engineering: Complex Fluids,2.4 Chemical engineering
Engineering: Chemical Engineering: Membrane Science,2.4 Chemical engineering
Engineering: Chemical Engineering: Petroleum Engineering,2.4 Chemical engineering
Engineering: Chemical Engineering: Polymer Science,2.4 Chemical engineering
Engineering: Chemical Engineering: Process Control and Systems,2.4 Chemical engineering
Engineering: Chemical Engineering: Transport Phenomena,2.4 Chemical engineering
Engineering: Chemical Engineering: Other Chemical Engineering,2.4 Chemical engineering
Engineering: Civil and Environmental Engineering,2.1 Civil engineering
Engineering: Civil and Environmental Engineering: Civil Engineering,2.1 Civil engineering
Engineering: Civil and Environmental Engineering: Construction Engineering and Management,2.1 Civil engineering
Engineering: Civil and Environmental Engineering: Environmental Engineering,2.7 Environmental engineering
Engineering: Civil and Environmental Engineering: Geotechnical Engineering,2.1 Civil engineering
Engineering: Civil and Environmental Engineering: Hydraulic Engineering,2.1 Civil engineering
Engineering: Civil and Environmental Engineering: Structural Engineering,2.1 Civil engineering
Engineering: Civil and Environmental Engineering: Transportation Engineering,2.1 Civil engineering
Engineering: Civil and Environmental Engineering: Other Civil and Environmental Engineering,2.7 Environmental engineering
Engineering: Computational Engineering,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Computer Engineering,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Computer Engineering: Computer and Systems Architecture,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Computer Engineering: Data Storage Systems,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Computer Engineering: Digital Circuits,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Computer Engineering: Digital Communications and Networking,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Computer Engineering: Hardware Systems,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Computer Engineering: Robotics,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Computer Engineering: Other Computer Engineering,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Electrical and Computer Engineering,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Electrical and Computer Engineering: Biomedical,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Electrical and Computer Engineering: Controls and Control Theory,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Electrical and Computer Engineering: Electrical and Electronics,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Electrical and Computer Engineering: Electromagnetics and Photonics,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Electrical and Computer Engineering: Electronic Devices and Semiconductor Manufacturing,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Electrical and Computer Engineering: Nanotechnology Fabrication,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Electrical and Computer Engineering: Power and Energy,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Electrical and Computer Engineering: Signal Processing,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Electrical and Computer Engineering: Systems and Communications,2.2 Electrical engineering; electronic engineering; information engineering
"Engineering: Electrical and Computer Engineering: VLSI and Circuits, Embedded and Hardware Systems",2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Electrical and Computer Engineering: Other Electrical and Computer Engineering,2.2 Electrical engineering; electronic engineering; information engineering
Engineering: Engineering Education,2.1 Civil engineering
Engineering: Engineering Science and Materials,2.5 Materials engineering
Engineering: Engineering Science and Materials: Dynamics and Dynamical Systems,2.3 Mechanical engineering
Engineering: Engineering Science and Materials: Engineering Mechanics,2.3 Mechanical engineering
Engineering: Engineering Science and Materials: Mechanics of Materials,2.3 Mechanical engineering
Engineering: Engineering Science and Materials: Other Engineering Science and Materials,2.5 Materials engineering
Engineering: Geological Engineering,2.1 Civil engineering
Engineering: Materials Science and Engineering: Biology and Biomimetic Materials,2.5 Materials engineering
Engineering: Materials Science and Engineering: Ceramic Materials,2.5 Materials engineering
